# Spectral Data
f in Hz	A in dBV
694.335937	-14.762108
695.800781	-14.787316
697.265625	-14.813936
698.730469	-14.812335
700.195312	-14.818262
701.660156	-14.731324
703.125000	-14.735722
704.589844	-14.774703
706.054687	-14.858165
707.519531	-14.862960
708.984375	-14.864845
710.449219	-14.873354
711.914062	-14.929056
713.378906	-14.943675
714.843750	-14.925793
716.308594	-14.885613
717.773437	-14.883101
719.238281	-14.943757
720.703125	-14.924190
722.167969	-14.913468
723.632812	-14.935647
725.097656	-14.973304
726.562500	-15.065212
728.027344	-15.061415
729.492187	-15.031683
730.957031	-15.050895
732.421875	-15.093124
733.886719	-15.045974
735.351562	-15.032865
736.816406	-15.063021
738.281250	-15.108662
739.746094	-15.061945
741.210937	-15.018474
742.675781	-14.998094
744.140625	-15.037228
745.605469	-15.086741
747.070312	-15.068665
748.535156	-15.034832
750.000000	-15.001183
751.464844	-14.902511
752.929687	-14.810312
754.394531	-14.719863
755.859375	-14.747914
757.324219	-14.822195
758.789062	-14.978738
760.253906	-15.141324
761.718750	-15.161706
763.183594	-15.185818
764.648437	-15.224233
766.113281	-15.185127
767.578125	-15.179259
769.042969	-15.140036
770.507812	-15.144105
771.972656	-15.195583
773.437500	-15.212169
774.902344	-15.156871
776.367187	-15.187809
777.832031	-15.227097
779.296875	-15.190540
780.761719	-15.160094
782.226562	-15.189456
783.691406	-15.209133
785.156250	-15.151982
786.621094	-15.156044
788.085937	-15.166241
789.550781	-15.153115
791.015625	-15.113948
792.480469	-15.060141
793.945312	-15.010825
795.410156	-14.974810
796.875000	-14.969426
798.339844	-14.924914
799.804687	-14.894566
801.269531	-14.912779
802.734375	-14.945656
804.199219	-14.967516
805.664062	-14.994414
807.128906	-15.017585
808.593750	-15.031738
810.058594	-15.002797
811.523437	-15.005220
812.988281	-15.067136
814.453125	-15.158498
815.917969	-15.176691
817.382812	-15.199013
818.847656	-15.227321
820.312500	-15.239480
821.777344	-15.176809
823.242187	-15.177764
824.707031	-15.231854
826.171875	-15.271386
827.636719	-15.306564
829.101562	-15.321046
830.566406	-15.403103
832.031250	-15.447783
