# Spectral Data
# f in Hz	A in dBV
846.679687	-15.365632
848.144531	-15.271697
849.609375	-15.140512
851.074219	-14.860159
852.539062	-14.637280
854.003906	-14.510164
855.468750	-14.557587
856.933594	-14.653216
858.398437	-14.834223
859.863281	-15.057559
861.328125	-15.262809
862.792969	-15.241549
864.257812	-15.234233
865.722656	-15.280318
867.187500	-15.298653
868.652344	-15.271396
870.117187	-15.280112
871.582031	-15.293566
873.046875	-15.340472
874.511719	-15.385725
875.976562	-15.399852
877.441406	-15.259602
878.906250	-15.186186
880.371094	-15.160417
881.835937	-15.133815
883.300781	-15.101776
884.765625	-15.127512
886.230469	-15.146782
887.695312	-15.186315
889.160156	-15.218177
890.625000	-15.077000
892.089844	-15.048955
893.554687	-15.042814
895.019531	-15.121142
896.484375	-15.135687
897.949219	-15.034999
899.414062	-14.964537
900.878906	-14.987429
902.343750	-14.962531
903.808594	-14.946758
905.273437	-14.868183
906.738281	-14.876633
908.203125	-14.818638
909.667969	-14.810144
911.132812	-14.787467
912.597656	-14.781545
914.062500	-14.685556
915.527344	-14.618122
916.992187	-14.582181
918.457031	-14.614329
919.921875	-14.537192
921.386719	-14.439576
922.851562	-14.381210
924.316406	-14.368791
925.781250	-14.330098
927.246094	-14.225395
928.710937	-14.213021
930.175781	-14.260224
931.640625	-14.403142
933.105469	-14.305135
934.570312	-14.308194
936.035156	-14.299246
937.500000	-14.301742
938.964844	-14.179708
940.429687	-14.194366
941.894531	-14.169414
943.359375	-14.066934
944.824219	-14.101353
946.289062	-14.210187
947.753906	-14.275035
949.218750	-14.313385
950.683594	-14.307780
952.148437	-14.337435
953.613281	-14.294855
955.078125	-14.352958
956.542969	-14.371400
958.007812	-14.430882
959.472656	-14.548016
960.937500	-14.605171
962.402344	-14.759929
963.867187	-14.902001
965.332031	-14.963473
966.796875	-14.906082
968.261719	-14.918037
969.726562	-14.955559
971.191406	-15.029452
972.656250	-15.018563
974.121094	-15.075088
975.585937	-15.088693
977.050781	-15.029748
978.515625	-15.050938
979.980469	-15.154671
981.445312	-15.197999
982.910156	-15.237479
984.375000	-15.249582
985.839844	-15.311397
987.304687	-15.303370
988.769531	-15.242041
990.234375	-15.218817
991.699219	-15.195479
993.164062	-15.241605
994.628906	-15.256025
996.093750	-15.323680
997.558594	-15.366440

