# Spectral Data
# f in Hz A in dBV
Hz dBV
241.699219 -12.677824
243.164062 -12.670021
244.628906 -12.614446
246.093750 -12.631316
247.558594 -12.604908
249.023437 -12.589565
250.488281 -12.571904
251.953125 -12.545929
253.417969 -12.483469
254.882812 -12.422483
256.347656 -12.328643
257.812500 -12.288860
259.277344 -12.240373
260.742187 -12.215986
262.207031 -12.185160
263.671875 -12.151876
265.136719 -12.153231
266.601562 -12.067989
268.066406 -12.024238
269.531250 -11.992000
270.996094 -11.938563
272.460937 -11.817675
273.925781 -11.746685
275.390625 -11.666444
276.855469 -11.664938
278.320312 -11.713956
279.785156 -11.817823
281.250000 -11.875142
282.714844 -11.966791
284.179687 -12.084998
285.644531 -12.229042
287.109375 -12.330758
288.574219 -12.477256
290.039062 -12.620622
291.503906 -12.776725
292.968750 -12.891323
294.433594 -13.029192
295.898437 -13.141960
297.363281 -13.190000
298.828125 -13.312075
300.292969 -13.453938
301.757812 -13.583755
303.222656 -13.660656
304.687500 -13.717198
306.152344 -13.756300
307.617187 -13.826937
309.082031 -13.921494
310.546875 -13.954372
312.011719 -14.037625
313.476562 -14.151063
314.941406 -14.186613
316.406250 -14.207322
317.871094 -14.254597
319.335937 -14.341994
320.800781 -14.398789
322.265625 -14.458733
323.730469 -14.516859
325.195312 -14.557667
326.660156 -14.567530
328.125000 -14.557977
329.589844 -14.547275
331.054687 -14.593855
332.519531 -14.628416
333.984375 -14.686758
335.449219 -14.768237
336.914062 -14.816406
338.378906 -14.811687
339.843750 -14.809983
341.308594 -14.843280
342.773437 -14.870665
344.238281 -14.888765
345.703125 -14.897768
347.167969 -14.900529
348.632812 -14.973273
350.097656 -14.931808
351.562500 -14.831406
353.027344 -14.730088
354.492187 -14.615507
355.957031 -14.579196
357.421875 -14.644941
358.886719 -14.757033
360.351562 -14.907507
361.816406 -14.978758
363.281250 -14.959956
364.746094 -14.908538
366.210937 -14.829733
367.675781 -14.797240
369.140625 -14.763604
370.605469 -14.750956
372.070312 -14.740303
373.535156 -14.741837
375.000000 -14.705530
376.464844 -14.654656
377.929687 -14.625118
379.394531 -14.649865
380.859375 -14.688305
382.324219 -14.627755
383.789062 -14.523986
385.253906 -14.438820
386.718750 -14.433422
388.183594 -14.348682
389.648437 -14.305240
391.113281 -14.302965
392.578125 -14.254566
394.042969 -14.258134
395.507812 -14.203930
396.972656 -14.160570
398.437500 -14.052094
399.902344 -13.949053
401.367187 -13.799419
402.832031 -13.618076
404.296875 -13.481807
405.761719 -13.329754
407.226562 -13.169362
408.691406 -13.030575
410.156250 -12.936599
411.621094 -12.863524
413.085937 -12.825793
414.550781 -12.859131
416.015625 -12.944199
417.480469 -13.081183
418.945312 -13.224920
420.410156 -13.370934
