# Spectral Data
# f in Hz A in dBV
440.917969 -13.744630
442.382812 -13.755707
443.847656 -13.792873
445.312500 -13.884006
446.777344 -13.863819
448.242187 -13.879451
449.707031 -13.844117
451.171875 -13.842464
452.636719 -13.836678
454.101562 -13.818984
455.566406 -13.774279
457.031250 -13.749540
458.496094 -13.761519
459.960937 -13.783860
461.425781 -13.827004
462.890625 -13.843794
464.355469 -13.883083
465.820312 -13.943766
467.285156 -13.956279
468.750000 -13.973251
470.214844 -13.936313
471.679687 -13.897393
473.144531 -13.864741
474.609375 -13.896868
476.074219 -13.941355
477.539062 -13.961640
479.003906 -13.969621
480.468750 -13.942954
481.933594 -13.899586
483.398437 -13.890620
484.863281 -13.889106
486.328125 -13.907621
487.792969 -13.939856
489.257812 -13.996215
490.722656 -14.036549
492.187500 -14.029590
493.652344 -14.048000
495.117187 -14.081117
496.582031 -14.119049
498.046875 -14.138664
499.511719 -14.169955
500.976562 -14.195664
502.441406 -14.229487
503.906250 -14.229886
505.371094 -14.211293
506.835937 -14.231099
508.300781 -14.262981
509.765625 -14.304498
511.230469 -14.329621
512.695312 -14.359258
514.160156 -14.379212
515.625000 -14.367957
517.089844 -14.369742
518.554687 -14.392004
520.019531 -14.412210
521.484375 -14.440921
522.949219 -14.448926
524.414062 -14.459586
525.878906 -14.470948
527.343750 -14.482489
528.808594 -14.504351
530.273437 -14.497049
531.738281 -14.460068
533.203125 -14.412332
534.667969 -14.385850
536.132812 -14.403178
537.597656 -14.404397
539.062500 -14.417481
540.527344 -14.406200
541.992187 -14.345199
543.457031 -14.304533
544.921875 -14.233244
546.386719 -14.177634
547.851562 -14.095795
549.316406 -14.022762
550.781250 -13.957235
552.246094 -13.862533
553.710937 -13.757802
555.175781 -13.691198
556.640625 -13.607931
558.105469 -13.549178
559.570312 -13.525015
561.035156 -13.557162
562.500000 -13.607565
563.964844 -13.706479
565.429687 -13.820729
566.894531 -13.938966
568.359375 -14.109986
569.824219 -14.262042
571.289062 -14.402020
572.753906 -14.456031
574.218750 -14.550266
575.683594 -14.642307
577.148437 -14.707949
578.613281 -14.763978
580.078125 -14.797554
581.542969 -14.860299
583.007812 -14.929559
584.472656 -14.997491
585.937500 -15.037694
587.402344 -15.069026
588.867187 -15.110970
590.332031 -15.165828
591.796875 -15.240533
593.261719 -15.307057
594.726562 -15.348862
596.191406 -15.384839
597.656250 -15.446311
599.121094 -15.518247
600.585937 -15.532283
602.050781 -15.506865
603.515625 -15.503731
604.980469 -15.508038
606.445312 -15.534774
607.910156 -15.546301
609.375000 -15.564173
610.839844 -15.576455
612.304687 -15.569041
613.769531 -15.579160
615.234375 -15.553018
